Amien St,McCaffrey S,"Pharmacy Express, unit 3 Connolly Station, Amien St. Dublin 1",01-7920000,01-7920007,pharmacist@pharmacyexpressdublin.ie
Artane,Frayne J,"Brookwood Pharmacy, 42 Brookwood rise, Dublin 5",01-8311898,01-8311898,
Artane,Health Express Pharmacies,"Health Express Pharmacy, Unit 6 Artane Castle S/c",01-8511692,01-8511692,
Artane,Hynes C,"Bradleys Pharmacy, 48 St Brighid’s Rd",01-8311667,01-8510129,
Artane,Lloyds Pharmacy,"Lloyds Pharmacy, 54 St Brigids Rd",01-8311852,01-8058091,
Artane,O’Reilly M,"Pharmacy O’Reilly, 2 Mornington Park, Malahide Rd",01-8319155,01-8511996,
Ashtown,Lioyds Pharmacy,"Lioyds Pharmacy, Unit 7 The Village Centre, Rathborne, Ashtown, Dublin 15",01-8996982,01-8996964,
Aungier St.,McSweeney Group,"O’Haras Pharmacy, 16 Redmonds Hill, Aungier St., Dublin 2",01-4760680,01-4053888/9,oharas@msg.ie
Baggot St Lr,Boots Retail Ireland,"Boots, 134-135 Lwr Baggot St., Dublin 2",01-6618443,01-6618459,
Baggot St Lr,Dowling R,"Dowling’s Pharmacy, 6 Baggot St. Lr, Dublin 2",01-6785612,01-6785612,dowlingspharmacy@eircom.net
Baggot St Upr,Boots Retail Ireland,"Boots, 32 Upper Baggot St, Dublin 4",01-6600175,01-6602740,Lisa.obrien@boots.com
Baggot St Upr,O’Hagan O,"Meaghers Pharmacy, 10 Baggot St. Upr",01-6605744,01-6605744,oonaghohagan@gmail.com
Baldoyle,Dunne A,"Adrian Dunne Pharmacy, Unit 4, Racecourse S/c, Baldoyle, Dublin 3",01-8392851,01-8395478,baldoyle@dunnepharmacies.ie
Ballinteer,Bhagwan L,"Bhagwans Pharmacy, Ballinteer Rd, Dublin 16",01-2984378,01-2968733,
Ballinteer,Dunne A,"Adrian Dunne Pharmacy, Ballinteer S/c",01-2951932,01-2960591,"ballinteerdunnepharmacies.ie
"
Ballinteer,Littleton S,"Marley Pharmacy, Unit 7, Superquinn S/c",01-2981678,01-2987678,
Ballsbridge,Byrne P,"Byrnes Pharmacy, 4 Merrion Rd, Dublin 4",01-6683287,01-6687949,byrnespharmacy@eircom.net
Ballsbridge,Lenehan T,"Murrays Pharmacy, 3 Serpentine Ct, serpentine Av",01-6603376,01-6603376,murrays_pharmacy@eircom.net
Ballycullen,Ellis M,"Mark Ellis Pharmacy, Woodstown S/c, Ballycullen Rd, Dublin 16",01-4952130,01-4952130,elpharm1@eircom.net
Ballyfermot,Beggs D,"Pure Pharmacy, Unit 2 Phoenix S/c, Ballyfermot, Dublin 10",01-6268567,01-6268471,purepharmacybf@gmail.com
Ballyfermot,Breenan K,"Haven Pharmacy Moloneys, Grange Cross",01-6264112,01-6264112,
Ballyfermot,Cambursano N,"Boylans Pharmacy Ltd, 9 Claddagh Gr",01-6264988,01-6230192,
Ballyfermot,Dillane T,"Ballyfermot Pharmacy Ltd, Unit 3 Tesco S/c",01-6166111,01-6166111,tadghdillane@yahoo.co.uk
Ballyfermot,Kiely S,"Kielys Pharmacy, 203 Le Fanu Rd",01-6260949,01-6260949,kielyrx@eircom.net
Ballyfermot,Kiely S,"Kielys Pharmacy, 282 Ballyfermot  Rd",01-6264861,01-6264861,kielyspharmacy@eircom.net
Ballyfermot,Littleton S,"Crowleys Pharmacy, 207 Decies Rd",01-6264528,01-6236859,
Ballyfermot,Littleton S,"Crowleys Pharmacy, 310 Ballyfermot Rd",01-6263180,01-6237648,
Ballyfermot,Lloyds Pharmacy,"Lloyds pharmacy, 292 Ballyfermot",01-6238434,01-6238674,
